Episode,Reward,Final Stack,Loss
1,-510,0,0
2,510,520,0
3,-260,510,0
4,-750,20,0
5,510,520,0
6,270,280,0
7,150,160,0
8,-500,150,0
9,-20,140,0
10,-520,10,0
11,-510,990,0
12,-20,980,0
13,-520,970,0
14,-960,20,0
15,-510,990,0
16,-20,980,0
17,-1000,10,0
18,-510,990,0
19,500,520,0
20,-20,510,0
21,-500,500,0
22,260,270,0
23,140,160,0
24,90,100,0
25,510,520,0
26,-220,110,0
27,20,120,0
28,-120,110,0
29,-60,20,0
30,990,1000,0
31,20,1010,0
32,510,530,0
33,-760,20,0
34,510,520,0
35,270,280,0
36,150,160,0
37,-480,150,0
38,-20,140,0
39,80,90,0
40,-510,10,0
41,510,520,0
42,270,280,0
43,-390,10,0
44,-1000,10,0
45,510,520,0
46,270,280,0
47,-380,10,0
48,-510,990,0
49,-500,20,0
50,510,520,0
51,-270,10,0
52,-20,990,0
53,500,520,0
54,270,280,0
55,-510,270,0
56,-510,260,0
57,-510,10,0
58,510,520,0
59,270,280,0
60,-160,10,0
61,510,520,0
62,-340,510,0
63,-20,500,0
64,-520,490,211050.90625
65,-510,480,214800.40625
66,-20,470,214529.265625
67,-520,460,211656.453125
68,-510,450,214111.59375
69,-20,440,211496.0625
70,-520,430,202392.234375
71,-20,420,209907.84375
72,-720,10,198388.6875
73,510,520,193521.71875
74,-490,10,215301.6875
75,-20,990,216348.9375
76,520,520,208968.703125
77,-300,10,195034.8125
78,510,520,201590.15625
79,280,290,203694.625
80,-510,280,219904.3125
81,-640,10,214812.78125
82,-20,990,209188.078125
83,-140,980,203779.390625
84,-310,970,187606.25
85,490,510,199533.5
86,-20,500,226204.203125
87,340,350,175181.765625
88,-260,340,196544.59375
89,-430,10,206403.984375
90,-510,10,205151.5
91,270,760,223184.15625
92,20,770,211148.859375
93,-510,0,215257.71875
94,510,520,205897.640625
95,-260,510,190821.953125
96,-20,500,194436.09375
97,-20,490,182568.734375
98,-520,480,193799.796875
99,250,260,194920.671875
100,-510,250,166795.1875
101,-380,20,149313.703125
102,-60,990,190783.8125
103,500,520,161540.390625
104,270,280,166459.34375
105,150,160,183204.140625
106,90,100,189911.390625
107,90,940,191942.125
108,-510,930,191899.28125
109,-20,920,182176.875
110,470,480,173913.4375
111,-510,470,175617.921875
112,-510,460,188610.296875
113,-510,450,211853.140625
114,-720,20,182542.09375
115,510,520,173003.359375
116,270,280,201732.46875
117,-630,10,196125.09375
118,980,990,193600.890625
119,500,520,198718.5
120,135,145,179453.25
121,10,145,183836.828125
122,-20,135,219847.34375
123,70,95,186588.078125
124,510,520,173141.390625
125,270,280,154699.671875
126,-260,10,178492.84375
127,510,520,161280.015625
128,270,280,157065.109375
129,-150,10,180141.3125
130,-440,990,189834.703125
131,-20,980,153443.203125
132,-520,970,199176.0625
133,255,255,149196.53125
134,-20,245,151199.21875
135,-145,235,188271.421875
136,-20,225,161940.328125
137,120,135,171895.140625
138,-30,125,135572.4375
139,-500,115,154902.625
140,60,85,134581.40625
141,510,520,170367.03125
142,-750,10,170803.328125
143,510,520,162335.78125
144,270,280,148067.765625
145,-510,10,174498.265625
146,-20,990,182399.625
147,-40,980,152286.875
148,500,510,161721.03125
149,-300,20,185658.8125
150,-250,990,184108.375
151,-990,20,171365.34375
152,1000,1010,214340.0
153,630,650,147753.46875
154,-660,20,167262.328125
155,20,1010,212324.34375
156,510,530,151694.359375
157,-510,0,182237.46875
158,-510,10,162449.09375
159,-20,990,159088.90625
160,500,520,198779.203125
161,-510,510,218658.625
162,-30,480,177164.4375
163,-150,470,138074.484375
164,-20,460,181236.09375
165,-260,10,209024.140625
166,510,520,188550.828125
167,270,280,197474.9375
168,120,190,217191.015625
169,-20,180,179616.25
170,-170,170,167365.3125
171,90,110,178354.6875
172,360,360,177690.59375
173,-510,10,159008.78125
174,510,520,179590.078125
175,-20,510,173004.75
176,-520,500,173352.28125
177,-510,490,192077.375
178,-20,480,183972.5625
179,-440,470,186402.140625
180,-40,460,130537.9765625
181,290,300,190982.625
182,-190,10,175824.78125
183,510,520,137093.84375
184,-340,10,173072.625
185,510,520,177446.15625
186,270,280,196942.75
187,-630,10,155164.6875
188,-510,990,175098.578125
189,-510,980,164589.4375
190,500,510,163309.4375
191,260,280,158230.484375
192,-600,10,164217.953125
193,510,520,149538.28125
194,-490,510,159270.1875
195,-390,360,140688.28125
196,190,200,170418.40625
197,-130,190,174274.53125
198,-510,180,103040.125
199,110,120,147794.609375
200,-20,110,160773.953125
201,-150,20,157749.484375
202,-310,990,159478.828125
203,-20,980,152722.0625
204,-520,970,163112.40625
205,490,510,178916.34375
206,510,510,176578.453125
207,510,510,161796.421875
208,-510,500,153731.0
209,260,270,122775.0859375
210,20,280,151304.90625
211,150,160,166803.90625
212,-210,150,126116.734375
213,80,100,175975.3125
214,510,520,164912.84375
215,-90,510,203358.75
216,-680,20,123473.734375
217,520,530,150606.875
218,-280,520,171249.109375
219,-250,510,149672.328125
220,-750,20,155728.28125
221,1000,1010,132834.6875
222,-510,1000,149732.703125
223,-1000,10,141464.59375
224,510,520,181169.34375
225,270,280,149571.9375
226,150,160,174069.296875
227,-170,10,169918.3125
228,830,840,140350.875
229,-20,830,163559.296875
230,420,440,153421.015625
231,230,240,174442.71875
232,130,140,198310.359375
233,-530,10,145632.75
234,-510,990,212818.28125
235,-510,980,143212.640625
236,-940,10,209081.28125
237,-20,990,131688.15625
238,500,520,163251.40625
239,-30,510,169314.890625
240,-440,500,153046.0
241,-510,10,152801.515625
242,510,520,154050.0
243,270,280,142764.28125
244,-630,10,146090.65625
245,510,520,138027.84375
246,270,280,170249.875
247,150,160,151902.015625
248,90,100,189335.296875
249,510,520,182040.984375
250,-440,510,187332.09375
251,-20,500,154599.015625
252,-760,10,122060.7265625
253,760,770,170884.1875
254,-120,760,140333.4375
255,390,400,154107.1875
256,-350,390,155257.515625
257,-20,380,150170.78125
258,200,210,174541.015625
259,510,510,164469.65625
260,510,510,146486.609375
261,-510,500,137883.65625
262,-750,10,185623.671875
263,-20,990,104720.1640625
264,500,520,191237.90625
265,-510,510,141304.078125
266,260,280,141044.4375
267,-500,10,159691.6875
268,-20,990,132863.921875
269,-940,20,147216.203125
270,-20,990,147240.09375
271,-520,980,118542.7890625
272,-510,970,188848.40625
273,-980,20,211921.21875
274,-510,10,162465.609375
275,510,520,167794.5
276,-260,510,118444.734375
277,260,280,156204.71875
278,-630,10,152266.484375
279,510,520,218215.65625
280,270,280,157538.546875
281,150,160,157815.59375
282,-500,10,148165.671875
283,510,520,111183.6484375
284,270,280,171090.609375
285,150,160,161598.453125
286,-570,10,131431.625
287,-1000,10,172179.84375
288,510,520,134088.125
289,-510,510,164567.578125
290,-570,20,178242.265625
291,510,520,168921.453125
292,-510,510,141874.421875
293,-510,500,128922.328125
294,-750,10,130969.5234375
295,-510,10,159840.828125
296,510,520,232327.34375
297,270,280,129990.328125
298,150,160,174461.109375
299,-30,150,139862.78125
300,-490,140,153310.59375
301,-510,10,121184.7578125
302,-20,990,175481.71875
303,500,520,212332.078125
304,20,530,173859.03125
305,270,290,191937.1875
306,-280,20,149343.78125
307,510,520,162642.8125
308,-250,510,191680.59375
309,-510,500,133846.40625
310,-750,10,166062.28125
311,510,520,152987.921875
312,-270,10,164302.28125
313,-360,990,164187.1875
314,-20,980,136947.375
315,500,510,182854.40625
316,-370,20,153981.390625
317,510,520,134339.59375
318,-280,10,175977.171875
319,510,520,201620.546875
320,270,280,155407.734375
321,-140,30,149437.609375
322,510,520,199690.21875
323,-510,10,153844.375
324,-20,990,187875.09375
325,-520,980,146506.046875
326,-510,970,166192.59375
327,490,510,122876.859375
328,260,280,148723.21875
329,-530,10,164913.34375
330,-880,10,129982.6796875
331,810,820,162907.96875
332,-20,810,168153.390625
333,-520,800,165415.84375
334,-420,10,160967.53125
335,-110,810,169011.4375
336,410,430,148197.390625
337,-510,420,164943.859375
338,-260,10,115095.46875
339,510,520,146917.90625
340,270,280,177033.796875
341,150,160,182035.015625
342,-510,150,123489.6875
343,510,510,162546.125
344,260,280,141674.171875
345,150,160,140365.0
346,-500,10,169715.875
347,510,520,122847.875
